Ден,Час,Минута,Заетост
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,0,5,0
1,0,6,0
1,0,7,0
1,0,8,0
1,0,9,0
1,0,10,0
1,0,11,0
1,0,12,0
1,0,13,0
1,0,14,0
1,0,15,0
1,0,16,0
1,0,17,0
1,0,18,0
1,0,19,0
1,0,20,0
1,0,21,0
1,0,22,0
1,0,23,0
1,0,24,0
1,0,25,0
1,0,26,0
1,0,27,0
1,0,28,0
1,0,29,0
1,0,30,0
1,0,31,0
1,0,32,0
1,0,33,0
1,0,34,0
1,0,35,1
1,0,36,1
1,0,37,1
1,0,38,1
1,0,39,1
1,0,40,1
1,0,41,1
1,0,42,1
1,0,43,1
1,0,44,1
1,0,45,1
1,0,46,1
1,0,47,1
1,0,48,1
1,0,49,1
1,0,50,1
1,0,51,1
1,0,52,1
1,0,53,1
1,0,54,1
1,0,55,1
1,0,56,1
1,0,57,1
1,0,58,1
1,0,59,1
1,1,0,1
1,1,1,1
1,1,2,1
1,1,3,1
1,1,4,1
1,1,5,1
1,1,6,1
1,1,7,1
1,1,8,1
1,1,9,1
1,1,10,1
1,1,11,1
1,1,12,1
1,1,13,1
1,1,14,1
1,1,15,1
1,1,16,1
1,1,17,1
1,1,18,1
1,1,19,1
1,1,20,1
1,1,21,1
1,1,22,1
1,1,23,1
1,1,24,1
1,1,25,1
1,1,26,1
1,1,27,1
1,1,28,1
1,1,29,1
1,1,30,1
1,1,31,1
1,1,32,1
1,1,33,1
1,1,34,1
1,1,35,1
1,1,36,1
1,1,37,1
1,1,38,1
1,1,39,1
1,1,40,1
1,1,41,1
1,1,42,1
1,1,43,1
1,1,44,1
1,1,45,1
1,1,46,1
1,1,47,1
1,1,48,1
1,1,49,1
1,1,50,1
1,1,51,1
1,1,52,1
1,1,53,1
1,1,54,1
1,1,55,1
1,1,56,1
1,1,57,1
1,1,58,1
1,1,59,1
1,2,0,1
1,2,1,1
1,2,2,1
1,2,3,1
1,2,4,1
1,2,5,1
1,2,6,1
1,2,7,1
1,2,8,1
1,2,9,1
1,2,10,1
1,2,11,1
1,2,12,1
1,2,13,1
1,2,14,1
1,2,15,1
1,2,16,1
1,2,17,1
1,2,18,1
1,2,19,2
1,2,20,2
1,2,21,2
1,2,22,2
1,2,23,2
1,2,24,2
1,2,25,2
1,2,26,2
1,2,27,2
1,2,28,2
1,2,29,2
1,2,30,2
1,2,31,2
1,2,32,2
1,2,33,2
1,2,34,2
1,2,35,2
1,2,36,3
1,2,37,3
1,2,38,3
1,2,39,3
1,2,40,3
1,2,41,4
1,2,42,4
1,2,43,4
1,2,44,4
1,2,45,4
1,2,46,4
1,2,47,4
1,2,48,4
1,2,49,4
1,2,50,4
1,2,51,4
1,2,52,4
1,2,53,4
1,2,54,4
1,2,55,4
1,2,56,4
1,2,57,4
1,2,58,4
1,2,59,4
1,3,0,4
1,3,1,4
1,3,2,4
1,3,3,4
1,3,4,4
1,3,5,4
1,3,6,4
1,3,7,4
1,3,8,4
1,3,9,4
1,3,10,4
1,3,11,4
1,3,12,4
1,3,13,5
1,3,14,5
1,3,15,5
1,3,16,5
1,3,17,5
1,3,18,5
1,3,19,5
1,3,20,5
1,3,21,5
1,3,22,5
1,3,23,5
1,3,24,5
1,3,25,5
1,3,26,5
1,3,27,5
1,3,28,5
1,3,29,4
1,3,30,4
1,3,31,4
1,3,32,4
1,3,33,4
1,3,34,4
1,3,35,4
1,3,36,4
1,3,37,4
1,3,38,4
1,3,39,4
1,3,40,4
1,3,41,4
1,3,42,4
1,3,43,4
1,3,44,4
1,3,45,4
1,3,46,4
1,3,47,4
1,3,48,4
1,3,49,4
1,3,50,4
1,3,51,4
1,3,52,4
1,3,53,4
1,3,54,4
1,3,55,4
1,3,56,4
1,3,57,4
1,3,58,4
1,3,59,4
1,4,0,4
1,4,1,4
1,4,2,4
1,4,3,4
1,4,4,4
1,4,5,4
1,4,6,4
1,4,7,4
1,4,8,4
1,4,9,4
1,4,10,4
1,4,11,4
1,4,12,4
1,4,13,4
1,4,14,4
1,4,15,4
1,4,16,5
1,4,17,5
1,4,18,5
1,4,19,5
1,4,20,5
1,4,21,5
1,4,22,5
1,4,23,5
1,4,24,5
1,4,25,5
1,4,26,5
1,4,27,5
1,4,28,5
1,4,29,5
1,4,30,5
1,4,31,5
1,4,32,5
1,4,33,5
1,4,34,5
1,4,35,5
1,4,36,5
1,4,37,5
1,4,38,5
1,4,39,5
1,4,40,5
1,4,41,5
1,4,42,5
1,4,43,5
1,4,44,5
1,4,45,5
1,4,46,5
1,4,47,5
1,4,48,5
1,4,49,5
1,4,50,5
1,4,51,5
1,4,52,5
1,4,53,5
1,4,54,5
1,4,55,5
1,4,56,5
1,4,57,5
1,4,58,5
1,4,59,5
1,5,0,6
1,5,1,6
1,5,2,6
1,5,3,6
1,5,4,6
1,5,5,6
1,5,6,6
1,5,7,7
1,5,8,7
1,5,9,7
1,5,10,7
1,5,11,7
1,5,12,7
1,5,13,7
1,5,14,7
1,5,15,7
1,5,16,7
1,5,17,7
1,5,18,7
1,5,19,8
1,5,20,8
1,5,21,8
1,5,22,8
1,5,23,8
1,5,24,8
1,5,25,8
1,5,26,8
1,5,27,8
1,5,28,8
1,5,29,8
1,5,30,8
1,5,31,8
1,5,32,9
1,5,33,9
1,5,34,9
